Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
27-03-2018,Bandhan Bank,4473,38.67,13.89,1.2,375,485,477.2,27.25,319.1,-14.91
28-03-2018,Hindustan Aeron,4229,1.73,0.03,0.39,1215,1159,1128.35,-7.13,1348.2,10.96
04-04-2018,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,0,93.1,90,0,175.45,
05-04-2018,ICICI Securitie,4016,0.54,0.05,0.39,520,435,444.9,-14.44,695.35,33.72
21-05-2018,Indostar Capita,1844,16.08,6.91,1.48,572,600.6,585.5,2.36,240.5,-57.95
02-07-2018,RITES,453.6,71.72,194.56,15.74,185,190,170.16,-8.02,250.7,35.51
02-07-2018,Fine Organics,597.87,12.86,21.01,1.62,783,815,822.8,5.08,3960,405.75
30-07-2018,TCNS Clothing C,1121.98,13.47,5.08,0.67,716,715,657.8,-8.13,678,-5.31
23-08-2018,CreditAccess Gr,1126.44,5.52,0.98,0.88,422,393,420.8,-0.28,703.15,66.62
08-10-2018,AAVAS Financier,1729.2,2.77,0.26,0.25,821,758,773.15,-5.83,3065.4,273.37
04-02-2019,Xelpmoc Design ,23,1.24,7.69,2.64,66,56,58.8,-10.91,306.65,364.62
07-02-2019,Chalet Hotels,1628.84,4.66,1.1,0.03,280,291,290.4,3.71,252,-10
29-03-2019,MSTC,213.81,1.13,2.15,2.95,128,111,114.2,-10.78,341.85,167.07
01-04-2019,Embassy Office,4750,2.15,3.09,0.31,300,300,314.1,4.7,381.46,27.15
11-04-2019,Rail Vikas,430.88,1.36,0.8,2.92,19,19,19.05,0.26,33.15,74.47
15-04-2019,Metropolis,1200.18,8.88,3.03,2.21,880,960,959.55,9.04,2000.05,127.28
08-05-2019,Neogen,131.48,30.49,113.88,16.06,0,251,263.55,0,1548.3,
04-07-2019,Indiamart Inter,474.12,30.83,62.13,14.07,973,1180,1302.55,33.87,4836.3,397.05
20-08-2019,Sterling Wilson,3125,1.02,0.89,0.3,780,700,725.35,-7.01,347.3,-55.47
14-10-2019,IRCTC,635.04,108.79,354.52,14.94,320,644,145.72,-54.46,816.3,155.09
04-12-2019,CSB Bank,409.68,38.85,45.49,9.01,195,275,300.1,53.9,234.1,20.05
12-12-2019,Ujjivan Small,750,110.72,473,49.09,37,58.75,55.9,51.08,17.9,-51.62
30-12-2019,Prince Pipes,500,3.54,1.21,1.89,178,160,166.6,-6.4,670.5,276.69
16-03-2020,SBI Card,10286.2,57.18,45.23,2.5,755,658,683.2,-9.51,826.9,9.52
23-07-2020,Rossari,496.25,2.75,4.34,2.51,425,670,742.35,74.67,1036,143.76
17-09-2020,Happiest Minds ,702.02,77.43,351.46,70.94,166,351,371,123.49,1042.05,527.74
21-09-2020,Route,600,89.76,192.81,12.67,350,708,651.1,86.03,1520,334.29
01-10-2020,CAMS,2244.33,73.18,111.85,5.55,1230,1535,1401.6,13.95,2443.5,98.66
